[2019-04-27 21:58:22,016] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:22,016] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:22,016] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:22,016] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:22,016] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:22,016] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 21:58:23,397] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
